Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,LM,25,1,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LM,64,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LM,CM",90,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LM,76,4,3,2,1,1,1,2,50.0,1,0,0,0,0,4,1,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,LM,25,1,0,0,1,0,0,0,0,0,3,0,3,0,1,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,RM,45,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,1,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RM,LM",88,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LM,53,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Match Report
