Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,LM,25,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,16,18,88.9,2,14,0,1,1,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LM,64,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,33,36,91.7,1,27,0,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LM,CM",90,0,0,0,0,0,0,1,0,84,1,1,0,0.0,0.0,0.0,0,0,75,79,94.9,7,56,1,4,2,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LM,76,0,0,0,0,2,1,0,0,65,4,0,0,0.0,0.0,0.0,1,0,50,52,96.2,8,49,1,4,1,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,LM,25,0,0,0,0,1,0,0,1,15,1,0,3,0.1,0.1,0.0,1,0,9,9,100.0,1,7,0,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,RM,45,0,0,0,0,2,0,0,0,41,1,0,2,0.1,0.1,0.0,1,0,27,31,87.1,3,22,4,1,1,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RM,LM",88,0,1,0,0,2,0,0,0,73,1,1,1,0.1,0.1,0.2,6,2,62,65,95.4,5,65,5,4,3,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LM,53,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,19,22,86.4,2,23,2,4,2,Match Report
