Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,LM,25,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,16,18,88.9,2,14,0,1,1,Match Report,21,1,4,11,6,0,21,100.0,0,0.0,54,21,0,0,0,2,16,1,1,0,1,0,0,0,0,0.0,0,1,0,1,1,2,0,0,16,18,88.9,188,53,11,11,100.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0,3,0,0,2,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LM,64,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,33,36,91.7,1,27,0,0,0,Match Report,41,2,3,34,5,1,41,0.0,0,0.0,116,16,1,0,1,1,33,1,1,0,0,0,1,1,3,33.3,2,0,0,0,0,1,1,0,33,36,91.7,462,39,17,17,100.0,15,17,88.2,0,0,0.0,0,0.0,0.0,0,1,0,0,1,36,36,0,0,0,0,0,0,0,0,0,0,33,0,0
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LM,CM",90,0,0,0,0,0,0,1,0,84,1,1,0,0.0,0.0,0.0,0,0,75,79,94.9,7,56,1,4,2,Match Report,84,1,9,56,19,0,84,50.0,2,50.0,175,72,0,0,0,1,71,11,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,1,0,75,79,94.9,1116,233,44,46,95.7,27,29,93.1,3,3,100.0,0,0.0,0.0,0,8,1,0,7,79,75,4,1,0,0,0,3,0,0,0,0,75,0,0
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LM,76,0,0,0,0,2,1,0,0,65,4,0,0,0.0,0.0,0.0,1,0,50,52,96.2,8,49,1,4,1,Match Report,65,1,6,32,28,1,65,25.0,3,75.0,237,96,0,0,0,3,50,11,4,3,2,1,1,1,2,50.0,1,0,0,0,0,4,1,0,50,52,96.2,710,213,33,34,97.1,14,14,100.0,1,1,100.0,0,0.0,0.0,0,7,0,0,8,52,51,1,0,0,0,0,1,0,0,0,0,50,0,0
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,LM,25,0,0,0,0,1,0,0,1,15,1,0,3,0.1,0.1,0.0,1,0,9,9,100.0,1,7,0,0,0,Match Report,15,0,1,10,4,1,15,0.0,0,0.0,26,8,0,0,0,0,7,0,1,0,0,1,0,0,0,0.0,0,3,0,3,0,1,0,0,9,9,100.0,127,23,3,3,100.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,1,9,8,1,0,0,0,0,1,0,0,0,0,9,0,0
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,RM,45,0,0,0,0,2,0,0,0,41,1,0,2,0.1,0.1,0.0,1,0,27,31,87.1,3,22,4,1,1,Match Report,41,1,6,20,16,5,41,100.0,0,0.0,137,54,1,3,3,0,26,6,1,1,0,0,1,0,1,0.0,1,2,0,2,0,1,1,0,27,31,87.1,390,36,16,16,100.0,11,14,78.6,0,0,0.0,0,0.0,0.0,1,3,0,0,3,31,30,1,0,1,0,0,0,0,0,0,0,27,0,0
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RM,LM",88,0,1,0,0,2,0,0,0,73,1,1,1,0.1,0.1,0.2,6,2,62,65,95.4,5,65,5,4,3,Match Report,73,0,9,50,16,3,73,75.0,1,25.0,343,112,2,1,1,7,59,3,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,62,65,95.4,1041,209,26,28,92.9,29,30,96.7,3,3,100.0,1,0.2,0.1,4,6,1,0,5,65,62,3,1,0,0,0,1,0,0,0,0,62,0,0
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LM,53,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,19,22,86.4,2,23,2,4,2,Match Report,30,1,8,15,7,0,30,50.0,2,50.0,124,50,0,0,2,3,23,1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,19,22,86.4,273,39,13,14,92.9,5,6,83.3,1,2,50.0,0,0.0,0.0,0,2,0,0,2,22,22,0,0,0,1,0,0,0,0,0,0,19,0,0
