Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,LM,25,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LM,64,36,36,0,0,0,0,0,0,0,0,0,0,33,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LM,CM",90,79,75,4,1,0,0,0,3,0,0,0,0,75,0,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LM,76,52,51,1,0,0,0,0,1,0,0,0,0,50,0,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,LM,25,9,8,1,0,0,0,0,1,0,0,0,0,9,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,RM,45,31,30,1,0,1,0,0,0,0,0,0,0,27,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RM,LM",88,65,62,3,1,0,0,0,1,0,0,0,0,62,0,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LM,53,22,22,0,0,0,1,0,0,0,0,0,0,19,0,0,Match Report
