Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,LM,25,16,18,88.9,188,53,11,11,100.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0,3,0,0,2,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LM,64,33,36,91.7,462,39,17,17,100.0,15,17,88.2,0,0,0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LM,CM",90,75,79,94.9,1116,233,44,46,95.7,27,29,93.1,3,3,100.0,0,0.0,0.0,0,8,1,0,7,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LM,76,50,52,96.2,710,213,33,34,97.1,14,14,100.0,1,1,100.0,0,0.0,0.0,0,7,0,0,8,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,LM,25,9,9,100.0,127,23,3,3,100.0,4,4,100.0,0,0,0,0,0.0,0.0,0,0,0,0,1,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,RM,45,27,31,87.1,390,36,16,16,100.0,11,14,78.6,0,0,0,0,0.0,0.0,1,3,0,0,3,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RM,LM",88,62,65,95.4,1041,209,26,28,92.9,29,30,96.7,3,3,100.0,1,0.2,0.1,4,6,1,0,5,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LM,53,19,22,86.4,273,39,13,14,92.9,5,6,83.3,1,2,50.0,0,0.0,0.0,0,2,0,0,2,Match Report
